,cycle,population_active__t1,population_passive__t1,population_total__t1,mut_population_active__t1,mut_population_passive__t1,mut_population_total__t1,population_active__t2,population_passive__t2,population_total__t2,mut_population_active__t2,mut_population_passive__t2,mut_population_total__t2,population_active__t3,population_passive__t3,population_total__t3,mut_population_active__t3,mut_population_passive__t3,mut_population_total__t3
75,75,4,4,8,0,0,0,4,4,8,0,4,4,4,4,8,4,2,6
76,76,4,4,8,0,0,0,4,4,8,0,4,4,4,4,8,4,2,6
77,77,4,4,8,0,0,0,4,4,8,0,4,4,4,4,8,4,2,6
78,78,4,4,8,0,0,0,4,4,8,0,4,4,4,4,8,4,2,6
79,79,4,4,8,0,0,0,4,4,8,0,4,4,4,4,8,4,2,6
80,80,4,4,8,0,0,0,4,4,8,0,4,4,4,4,8,4,2,6
81,81,4,4,8,0,0,0,4,4,8,0,4,4,4,4,8,4,2,6
82,82,4,4,8,0,0,0,4,4,8,0,4,4,4,4,8,4,2,6
83,83,4,4,8,0,0,0,4,4,8,0,4,4,4,4,8,4,2,6
84,84,4,4,8,0,0,0,4,4,8,0,4,4,4,4,8,4,2,6
85,85,4,4,8,0,0,0,4,4,8,0,4,4,4,4,8,4,2,6
86,86,4,4,8,0,0,0,4,4,8,0,4,4,4,4,8,4,2,6
87,87,4,4,8,0,0,0,4,4,8,0,4,4,4,4,8,4,2,6
88,88,4,4,8,0,0,0,4,4,8,0,4,4,4,4,8,4,2,6
89,89,4,4,8,0,0,0,4,4,8,0,4,4,4,4,8,4,2,6
90,90,4,4,8,0,0,0,4,4,8,0,4,4,6,4,10,6,2,8
91,91,4,4,8,0,0,0,4,4,8,0,4,4,6,4,10,6,2,8
92,92,4,4,8,0,0,0,4,4,8,0,4,4,6,4,10,6,2,8
93,93,4,4,8,0,0,0,4,4,8,0,4,4,6,4,10,6,2,8
94,94,4,4,8,0,0,0,4,4,8,0,4,4,6,5,11,6,3,9
95,95,4,4,8,0,0,0,4,4,8,0,4,4,6,6,12,6,4,10
96,96,4,4,8,0,0,0,4,4,8,0,4,4,6,6,12,6,4,10
97,97,4,4,8,0,0,0,4,6,10,0,6,6,6,6,12,6,4,10
98,98,4,4,8,0,0,0,4,8,12,0,8,8,6,6,12,6,4,10
99,99,4,4,8,0,0,0,4,8,12,0,8,8,8,6,14,8,4,12
100,100,4,4,8,0,0,0,4,8,12,0,8,8,8,6,14,8,4,12
101,101,8,8,16,0,0,0,8,8,16,2,8,10,8,8,16,8,4,12
102,102,8,8,16,0,0,0,8,8,16,2,8,10,8,8,16,8,4,12
103,103,8,8,16,0,0,0,8,8,16,2,8,10,8,8,16,8,4,12
104,104,8,8,16,0,0,0,8,8,16,2,8,10,8,8,16,8,4,12
105,105,8,8,16,0,0,0,8,8,16,2,8,10,8,8,16,8,4,12
106,106,8,8,16,0,0,0,8,8,16,2,8,10,8,8,16,8,4,12
107,107,8,8,16,0,0,0,8,8,16,2,8,10,8,8,16,8,4,12
108,108,8,8,16,0,0,0,8,8,16,2,8,10,8,8,16,8,4,12
109,109,8,8,16,0,0,0,8,8,16,2,8,10,8,8,16,8,4,12
110,110,8,8,16,0,0,0,8,8,16,2,8,10,8,8,16,8,4,12
111,111,8,8,16,0,0,0,8,8,16,2,8,10,8,8,16,8,4,12
112,112,8,8,16,0,0,0,8,8,16,2,8,10,8,8,16,8,4,12
113,113,8,8,16,0,0,0,8,8,16,2,8,10,8,8,16,8,4,12
114,114,8,8,16,0,0,0,8,8,16,2,8,10,8,8,16,8,4,12
115,115,8,8,16,0,0,0,8,8,16,2,8,10,8,8,16,8,4,12
116,116,8,8,16,0,0,0,8,8,16,2,8,10,8,8,16,8,4,12
117,117,8,8,16,0,0,0,8,8,16,2,8,10,8,8,16,8,4,12
118,118,8,8,16,0,0,0,8,8,16,2,8,10,8,8,16,8,4,12
119,119,8,8,16,0,0,0,8,8,16,2,8,10,8,8,16,8,4,12
120,120,8,8,16,0,0,0,8,8,16,2,8,10,8,8,16,8,4,12
121,121,8,8,16,0,0,0,8,8,16,2,8,10,12,8,20,12,4,16
122,122,8,8,16,0,0,0,8,9,17,2,9,11,12,8,20,12,4,16
123,123,8,8,16,0,0,0,8,10,18,2,10,12,12,8,20,12,4,16
124,124,8,8,16,0,0,0,8,10,18,2,10,12,12,8,20,12,4,16
125,125,8,8,16,0,0,0,8,11,19,2,11,13,12,8,20,12,4,16
126,126,8,8,16,0,0,0,8,11,19,2,11,13,12,10,22,12,6,18
127,127,8,8,16,0,0,0,8,11,19,2,11,13,12,10,22,12,6,18
128,128,8,8,16,0,0,0,9,11,20,3,11,14,12,12,24,12,8,20
129,129,8,8,16,0,0,0,9,12,21,3,12,15,12,12,24,12,8,20
130,130,8,8,16,0,0,0,9,16,25,3,16,19,12,12,24,12,8,20
131,131,8,8,16,0,0,0,9,16,25,3,16,19,12,12,24,12,8,20
132,132,8,8,16,0,0,0,10,16,26,4,16,20,16,12,28,16,8,24
133,133,8,8,16,0,0,0,10,16,26,4,16,20,16,12,28,16,8,24
134,134,8,8,16,0,0,0,10,16,26,4,16,20,16,12,28,16,8,24
135,135,16,16,32,0,0,0,16,16,32,4,16,20,16,16,32,16,12,28
136,136,16,16,32,0,0,0,16,16,32,4,16,20,16,16,32,16,12,28
137,137,16,16,32,0,0,0,16,16,32,4,16,20,16,16,32,16,12,28
138,138,16,16,32,0,0,0,16,16,32,4,16,20,16,16,32,16,12,28
139,139,16,16,32,0,0,0,16,16,32,4,16,20,16,16,32,16,12,28
140,140,16,16,32,0,0,0,16,16,32,4,16,20,16,16,32,16,12,28
141,141,16,16,32,0,0,0,16,16,32,4,16,20,16,16,32,16,12,28
142,142,16,16,32,0,0,0,16,16,32,4,16,20,16,16,32,16,12,28
143,143,16,16,32,0,0,0,16,16,32,4,16,20,16,16,32,16,12,28
144,144,16,16,32,0,0,0,16,16,32,4,16,20,16,16,32,16,12,28
145,145,16,16,32,0,0,0,16,16,32,4,16,20,16,16,32,16,12,28
146,146,16,16,32,0,0,0,16,16,32,4,16,20,16,16,32,16,12,28
147,147,16,16,32,0,0,0,16,16,32,4,16,20,16,16,32,16,12,28
148,148,16,16,32,0,0,0,16,16,32,4,16,20,16,16,32,16,12,28
149,149,16,16,32,0,0,0,16,16,32,4,16,20,16,16,32,16,12,28
150,150,16,16,32,0,0,0,16,16,32,4,16,20,16,16,32,16,12,28
151,151,16,16,32,0,0,0,16,16,32,4,16,20,16,16,32,16,12,28
152,152,16,16,32,0,0,0,16,16,32,4,16,20,24,16,40,24,12,36
153,153,16,16,32,0,0,0,16,18,34,4,18,22,24,16,40,24,12,36
154,154,16,16,32,0,0,0,16,20,36,4,20,24,24,16,40,24,12,36
155,155,16,16,32,0,0,0,16,20,36,4,20,24,24,16,40,24,12,36
156,156,16,16,32,0,0,0,16,20,36,4,20,24,24,16,40,24,12,36
157,157,16,16,32,0,0,0,16,22,38,4,22,26,24,16,40,24,12,36
158,158,16,16,32,0,0,0,16,22,38,4,22,26,24,20,44,24,16,40
159,159,16,16,32,0,0,0,16,22,38,4,22,26,24,20,44,24,16,40
160,160,16,16,32,0,0,0,18,22,40,6,22,28,24,21,45,24,17,41
161,161,16,16,32,0,0,0,18,24,42,6,24,30,24,25,49,24,21,45
162,162,16,16,32,0,0,0,18,24,42,6,24,30,24,26,50,24,22,46
163,163,16,16,32,0,0,0,18,32,50,6,32,38,24,26,50,24,22,46
164,164,16,16,32,0,0,0,18,32,50,6,32,38,24,28,52,24,24,48
165,165,16,16,32,0,0,0,20,32,52,8,32,40,32,28,60,32,24,56
166,166,16,16,32,0,0,0,20,32,52,8,32,40,32,28,60,32,24,56
167,167,16,16,32,0,0,0,20,32,52,8,32,40,32,28,60,32,24,56
168,168,32,32,64,2,4,6,32,32,64,8,32,40,32,32,64,32,24,56
169,169,32,32,64,2,4,6,32,32,64,8,32,40,32,32,64,32,24,56
170,170,32,32,64,2,4,6,32,32,64,8,32,40,32,32,64,32,24,56
171,171,32,32,64,2,4,6,32,32,64,8,32,40,32,32,64,32,24,56
172,172,32,32,64,2,4,6,32,32,64,8,32,40,32,32,64,32,24,56
173,173,32,32,64,2,4,6,32,32,64,8,32,40,32,32,64,32,24,56
174,174,32,32,64,2,4,6,32,32,64,8,32,40,32,32,64,32,24,56
175,175,32,32,64,2,4,6,32,32,64,8,32,40,32,32,64,32,24,56
176,176,32,32,64,2,4,6,32,32,64,8,32,40,33,32,65,33,24,57
177,177,32,32,64,2,4,6,32,32,64,8,32,40,35,32,67,35,24,59
178,178,32,32,64,2,4,6,32,32,64,8,32,40,36,32,68,36,24,60
179,179,32,32,64,2,4,6,32,34,66,8,34,42,36,32,68,36,24,60
180,180,32,32,64,2,4,6,32,34,66,8,34,42,36,32,68,36,24,60
181,181,32,32,64,2,4,6,32,34,66,8,34,42,36,32,68,36,24,60
182,182,32,32,64,2,4,6,32,34,66,8,34,42,36,33,69,36,25,61
183,183,32,32,64,2,4,6,32,34,66,8,34,42,48,33,81,48,25,73
184,184,32,32,64,2,4,6,32,38,70,8,38,46,48,33,81,48,25,73
185,185,32,32,64,2,4,6,32,40,72,8,40,48,48,34,82,48,26,74
186,186,32,32,64,2,4,6,32,40,72,8,40,48,48,34,82,48,26,74
187,187,32,32,64,2,4,6,32,40,72,8,40,48,48,34,82,48,26,74
188,188,32,32,64,2,4,6,32,44,76,8,44,52,48,34,82,48,26,74
189,189,32,32,64,2,4,6,32,44,76,8,44,52,48,34,82,48,26,74
190,190,32,32,64,2,4,6,32,44,76,8,44,52,48,40,88,48,32,80
191,191,32,32,64,2,4,6,32,45,77,8,45,53,49,42,91,49,34,83
192,192,32,32,64,2,4,6,36,45,81,12,45,57,50,42,92,50,34,84
193,193,33,33,66,3,5,8,36,45,81,12,45,57,50,44,94,50,36,86
194,194,34,33,67,4,5,9,36,50,86,12,50,62,50,52,102,50,44,94
195,195,34,33,67,4,5,9,36,50,86,12,50,62,50,52,102,50,44,94
196,196,34,34,68,4,6,10,36,64,100,12,64,76,52,54,106,52,46,98
