,cycle,population_active__t1,population_passive__t1,population_total__t1,food_crates__t1,organism_positions__t1,population_active__t2,population_passive__t2,population_total__t2,food_crates__t2,organism_positions__t2,population_active__t3,population_passive__t3,population_total__t3,food_crates__t3,organism_positions__t3
0,0,1,1,2,"[[49, 39, 20.0], [33, 41, 20.0], [10, 27, 20.0], [20, 33, 20.0], [22, 35, 20.0]]","[[1, 14, 'active'], [21, 42, 'passive']]",1,1,2,"[[18, 39, 20.0], [6, 32, 20.0], [24, 47, 20.0], [37, 1, 20.0], [1, 45, 20.0]]","[[25, 4, 'active'], [29, 27, 'passive']]",1,1,2,"[[14, 21, 20.0], [23, 21, 20.0], [49, 26, 20.0], [13, 43, 20.0], [32, 33, 20.0]]","[[33, 15, 'active'], [22, 2, 'passive']]"
1,1,1,1,2,"[[49, 39, 22.0], [33, 41, 22.0], [10, 27, 22.0], [20, 33, 22.0], [22, 35, 22.0]]","[[21, 35, 'passive'], [4, 20, 'active']]",1,1,2,"[[18, 39, 22.0], [6, 32, 22.0], [24, 47, 22.0], [37, 1, 22.0], [1, 45, 22.0]]","[[28, 30, 'passive'], [29, 1, 'active']]",1,1,2,"[[14, 21, 22.0], [23, 21, 22.0], [49, 26, 22.0], [13, 43, 22.0], [32, 33, 22.0]]","[[27, 16, 'active'], [23, 11, 'passive']]"
2,2,1,1,2,"[[49, 39, 24.0], [33, 41, 24.0], [10, 27, 24.0], [20, 33, 24.0], [22, 35, 24.0]]","[[22, 35, 'passive'], [5, 20, 'active']]",1,1,2,"[[18, 39, 24.0], [6, 32, 24.0], [24, 47, 24.0], [37, 1, 24.0], [1, 45, 24.0]]","[[19, 31, 'passive'], [36, 1, 'active']]",1,1,2,"[[14, 21, 24.0], [23, 21, 24.0], [49, 26, 24.0], [13, 43, 24.0], [32, 33, 24.0]]","[[23, 17, 'active'], [23, 20, 'passive']]"
3,3,1,1,2,"[[49, 39, 26.0], [33, 41, 26.0], [10, 27, 26.0], [20, 33, 26.0], [22, 35, 20.0]]","[[22, 35, 'passive'], [9, 22, 'active']]",1,1,2,"[[18, 39, 26.0], [6, 32, 26.0], [24, 47, 26.0], [37, 1, 26.0], [1, 45, 26.0]]","[[18, 35, 'passive'], [36, 1, 'active']]",1,1,2,"[[14, 21, 26.0], [23, 21, 26.0], [49, 26, 26.0], [13, 43, 26.0], [32, 33, 26.0]]","[[23, 20, 'active'], [23, 21, 'passive']]"
4,4,1,1,2,"[[49, 39, 28.0], [33, 41, 28.0], [10, 27, 28.0], [20, 33, 28.0], [22, 35, 16.0]]","[[10, 24, 'active'], [22, 35, 'passive']]",1,1,2,"[[18, 39, 28.0], [6, 32, 28.0], [24, 47, 28.0], [37, 1, 28.0], [1, 45, 28.0]]","[[18, 37, 'passive'], [37, 1, 'active']]",1,1,2,"[[14, 21, 28.0], [23, 21, 22.0], [49, 26, 28.0], [13, 43, 28.0], [32, 33, 28.0]]","[[23, 21, 'passive'], [23, 20, 'active']]"
5,5,1,1,2,"[[49, 39, 30.0], [33, 41, 30.0], [10, 27, 30.0], [20, 33, 30.0], [22, 35, 12.0]]","[[10, 26, 'active'], [22, 35, 'passive']]",1,1,2,"[[18, 39, 30.0], [6, 32, 30.0], [24, 47, 30.0], [37, 1, 24.0], [1, 45, 30.0]]","[[18, 39, 'passive'], [37, 1, 'active']]",1,1,2,"[[14, 21, 30.0], [23, 21, 18.0], [49, 26, 30.0], [13, 43, 30.0], [32, 33, 30.0]]","[[23, 21, 'active'], [23, 21, 'passive']]"
6,6,1,1,2,"[[49, 39, 32.0], [33, 41, 32.0], [10, 27, 32.0], [20, 33, 32.0], [22, 35, 8.0]]","[[22, 35, 'passive'], [10, 26, 'active']]",1,1,2,"[[18, 39, 26.0], [6, 32, 32.0], [24, 47, 32.0], [37, 1, 20.0], [1, 45, 32.0]]","[[37, 1, 'active'], [18, 39, 'passive']]",1,1,2,"[[14, 21, 32.0], [23, 21, 8.0], [49, 26, 32.0], [13, 43, 32.0], [32, 33, 32.0]]","[[23, 21, 'active'], [23, 21, 'passive']]"
7,7,1,1,2,"[[49, 39, 34.0], [33, 41, 34.0], [10, 27, 34.0], [20, 33, 34.0], [22, 35, 4.0]]","[[10, 26, 'active'], [22, 35, 'passive']]",1,1,2,"[[18, 39, 22.0], [6, 32, 34.0], [24, 47, 34.0], [37, 1, 16.0], [1, 45, 34.0]]","[[18, 39, 'passive'], [37, 1, 'active']]",1,1,2,"[[14, 21, 34.0], [49, 26, 34.0], [13, 43, 34.0], [32, 33, 34.0], [41, 49, 2.0]]","[[23, 21, 'passive'], [23, 21, 'active']]"
8,8,1,1,2,"[[49, 39, 36.0], [33, 41, 36.0], [10, 27, 36.0], [20, 33, 36.0], [22, 35, 0.0]]","[[10, 26, 'active'], [22, 35, 'passive']]",1,1,2,"[[18, 39, 18.0], [6, 32, 36.0], [24, 47, 36.0], [37, 1, 12.0], [1, 45, 36.0]]","[[37, 1, 'active'], [18, 39, 'passive']]",1,1,2,"[[14, 21, 36.0], [49, 26, 36.0], [13, 43, 36.0], [32, 33, 36.0], [41, 49, 4.0]]","[[20, 21, 'active'], [22, 21, 'passive']]"
9,9,1,1,2,"[[49, 39, 38.0], [33, 41, 38.0], [10, 27, 38.0], [20, 33, 38.0], [24, 32, 2.0]]","[[22, 35, 'passive'], [10, 26, 'active']]",1,1,2,"[[18, 39, 14.0], [6, 32, 38.0], [24, 47, 38.0], [37, 1, 8.0], [1, 45, 38.0]]","[[18, 39, 'passive'], [37, 1, 'active']]",1,1,2,"[[14, 21, 38.0], [49, 26, 38.0], [13, 43, 38.0], [32, 33, 38.0], [41, 49, 6.0]]","[[16, 21, 'active'], [19, 21, 'passive']]"
10,10,1,1,2,"[[49, 39, 40.0], [33, 41, 40.0], [10, 27, 40.0], [20, 33, 40.0], [24, 32, 4.0]]","[[22, 34, 'passive'], [10, 26, 'active']]",1,1,2,"[[18, 39, 10.0], [6, 32, 40.0], [24, 47, 40.0], [37, 1, 4.0], [1, 45, 40.0]]","[[37, 1, 'active'], [18, 39, 'passive']]",1,1,2,"[[14, 21, 40.0], [49, 26, 40.0], [13, 43, 40.0], [32, 33, 40.0], [41, 49, 8.0]]","[[16, 21, 'active'], [19, 21, 'passive']]"
