,cycle,season (num),population_active__t1,population_passive__t1,population_total__t1,population_active__t2,population_passive__t2,population_total__t2,population_active__t3,population_passive__t3,population_total__t3
0,0,0,1,1,2,1,1,2,1,1,2
1,1,0,1,1,2,1,1,2,1,1,2
2,2,1,1,1,2,1,1,2,1,1,2
3,3,2,1,1,2,1,1,2,1,1,2
4,4,3,1,1,2,1,1,2,1,1,2
5,5,4,1,1,2,1,1,2,1,1,2
6,6,5,1,1,2,1,1,2,1,1,2
7,7,6,1,1,2,1,1,2,1,1,2
8,8,7,1,1,2,1,1,2,1,1,2
9,9,8,1,1,2,1,1,2,1,1,2
10,10,9,1,1,2,1,1,2,1,1,2
11,11,10,1,1,2,1,1,2,1,1,2
12,12,11,1,1,2,1,1,2,1,1,2
13,13,12,1,1,2,1,1,2,1,1,2
14,14,13,1,1,2,1,1,2,1,1,2
15,15,14,1,1,2,1,1,2,1,1,2
16,16,15,1,1,2,1,1,2,1,1,2
17,17,16,1,1,2,1,1,2,1,1,2
18,18,17,2,2,4,2,2,4,2,2,4
19,19,18,2,2,4,2,2,4,2,2,4
20,20,19,1,2,3,1,2,3,2,2,4
21,21,20,1,2,3,1,2,3,2,2,4
22,22,21,1,2,3,1,2,3,2,2,4
23,23,22,1,2,3,1,2,3,2,2,4
24,24,23,1,2,3,1,2,3,1,2,3
25,25,24,1,2,3,0,2,2,1,2,3
26,26,25,1,2,3,0,1,1,1,2,3
27,27,26,1,2,3,0,1,1,1,2,3
28,28,27,1,2,3,0,1,1,1,2,3
29,29,28,1,1,2,0,1,1,1,2,3
30,30,29,1,1,2,0,0,0,1,2,3
31,31,30,1,1,2,0,0,0,1,2,3
32,32,31,1,1,2,0,0,0,1,2,3
33,33,32,1,1,2,0,0,0,1,2,3
34,34,33,2,0,2,0,0,0,2,4,6
35,35,34,2,0,2,0,0,0,2,4,6
36,36,35,2,0,2,0,0,0,2,4,6
37,37,36,2,0,2,0,0,0,2,4,6
38,38,37,2,0,2,0,0,0,2,4,6
39,39,38,2,0,2,0,0,0,2,4,6
40,40,39,2,0,2,0,0,0,2,4,6
41,41,40,2,0,2,0,0,0,2,4,6
42,42,41,2,0,2,0,0,0,2,4,6
43,43,42,2,0,2,0,0,0,2,4,6
44,44,43,2,0,2,0,0,0,2,4,6
45,45,44,2,0,2,0,0,0,2,4,6
46,46,45,2,0,2,0,0,0,2,4,6
47,47,46,2,0,2,0,0,0,2,4,6
48,48,47,2,0,2,0,0,0,2,4,6
49,49,48,2,0,2,0,0,0,2,4,6
50,50,49,2,0,2,0,0,0,2,4,6
51,51,50,4,0,4,0,0,0,4,8,12
52,52,51,4,0,4,0,0,0,4,8,12
53,53,52,4,0,4,0,0,0,4,8,12
54,54,53,4,0,4,0,0,0,4,8,12
55,55,54,4,0,4,0,0,0,4,8,12
56,56,55,4,0,4,0,0,0,4,8,12
57,57,56,4,0,4,0,0,0,4,8,12
58,58,57,4,0,4,0,0,0,4,8,12
59,59,58,4,0,4,0,0,0,4,8,12
60,60,59,4,0,4,0,0,0,4,8,12
61,61,60,4,0,4,0,0,0,4,8,12
62,62,61,4,0,4,0,0,0,4,8,12
63,63,62,4,0,4,0,0,0,4,8,12
64,64,63,4,0,4,0,0,0,4,8,12
65,65,64,4,0,4,0,0,0,4,8,12
66,66,65,4,0,4,0,0,0,4,8,12
67,67,66,4,0,4,0,0,0,4,8,12
68,68,67,4,0,4,0,0,0,4,8,12
69,69,68,4,0,4,0,0,0,4,8,12
70,70,69,4,0,4,0,0,0,4,8,12
71,71,70,4,0,4,0,0,0,4,8,12
72,72,71,8,0,8,0,0,0,8,16,24
73,73,72,8,0,8,0,0,0,8,16,24
74,74,73,8,0,8,0,0,0,8,16,24
75,75,74,8,0,8,0,0,0,8,16,24
76,76,75,8,0,8,0,0,0,8,16,24
77,77,76,8,0,8,0,0,0,8,16,24
78,78,77,8,0,8,0,0,0,8,16,24
79,79,78,8,0,8,0,0,0,8,16,24
80,80,79,8,0,8,0,0,0,8,16,24
81,81,80,8,0,8,0,0,0,8,16,24
82,82,81,8,0,8,0,0,0,8,16,24
83,83,82,8,0,8,0,0,0,8,16,24
84,84,83,8,0,8,0,0,0,8,16,24
85,85,84,8,0,8,0,0,0,8,16,24
86,86,85,8,0,8,0,0,0,8,16,24
87,87,86,8,0,8,0,0,0,8,16,24
88,88,87,8,0,8,0,0,0,8,16,24
89,89,88,8,0,8,0,0,0,8,16,24
90,90,89,8,0,8,0,0,0,8,16,24
91,91,90,8,0,8,0,0,0,8,16,24
92,92,91,8,0,8,0,0,0,8,16,24
93,93,92,8,0,8,0,0,0,8,16,24
94,94,93,16,0,16,0,0,0,16,32,48
95,95,94,16,0,16,0,0,0,16,32,48
96,96,95,16,0,16,0,0,0,16,32,48
