,cycle,population_active__t1,population_passive__t1,population_total__t1,food_crates__t1,organism_positions__t1,population_active__t2,population_passive__t2,population_total__t2,food_crates__t2,organism_positions__t2,population_active__t3,population_passive__t3,population_total__t3,food_crates__t3,organism_positions__t3
11,11,1,1,2,"[[5, 47, 42.0], [23, 31, 42.0], [38, 31, 14.0], [11, 34, 42.0], [38, 25, 10.0]]","[[38, 31, 'passive'], [38, 31, 'active']]",1,1,2,"[[50, 14, 34.0], [1, 14, 42.0], [11, 27, 42.0], [50, 7, 14.0], [33, 35, 6.0]]","[[50, 14, 'passive'], [50, 16, 'active']]",1,1,2,"[[7, 8, 34.0], [22, 10, 42.0], [0, 28, 42.0], [0, 36, 10.0], [21, 45, 2.0]]","[[7, 8, 'passive'], [33, 40, 'active']]"
12,12,1,1,2,"[[5, 47, 44.0], [23, 31, 44.0], [11, 34, 44.0], [38, 25, 12.0], [4, 50, 2.0]]","[[38, 31, 'active'], [38, 31, 'passive']]",1,1,2,"[[50, 14, 28.0], [1, 14, 44.0], [11, 27, 44.0], [50, 7, 16.0], [33, 35, 8.0]]","[[50, 16, 'active'], [50, 14, 'passive']]",1,1,2,"[[7, 8, 28.0], [22, 10, 44.0], [0, 28, 44.0], [0, 36, 12.0], [21, 45, 4.0]]","[[7, 8, 'passive'], [24, 42, 'active']]"
13,13,1,1,2,"[[5, 47, 46.0], [23, 31, 46.0], [11, 34, 46.0], [38, 25, 14.0], [4, 50, 4.0]]","[[38, 31, 'active'], [38, 30, 'passive']]",1,1,2,"[[50, 14, 22.0], [1, 14, 46.0], [11, 27, 46.0], [50, 7, 18.0], [33, 35, 10.0]]","[[50, 15, 'active'], [50, 14, 'passive']]",1,1,2,"[[7, 8, 22.0], [22, 10, 46.0], [0, 28, 46.0], [0, 36, 14.0], [21, 45, 6.0]]","[[7, 8, 'passive'], [21, 42, 'active']]"
14,14,1,1,2,"[[5, 47, 48.0], [23, 31, 48.0], [11, 34, 48.0], [38, 25, 16.0], [4, 50, 6.0]]","[[38, 30, 'active'], [38, 28, 'passive']]",1,1,2,"[[50, 14, 16.0], [1, 14, 48.0], [11, 27, 48.0], [50, 7, 20.0], [33, 35, 12.0]]","[[50, 14, 'active'], [50, 14, 'passive']]",1,1,2,"[[7, 8, 16.0], [22, 10, 48.0], [0, 28, 48.0], [0, 36, 16.0], [21, 45, 8.0]]","[[21, 45, 'active'], [7, 8, 'passive']]"
15,15,1,1,2,"[[5, 47, 50.0], [23, 31, 50.0], [11, 34, 50.0], [38, 25, 18.0], [4, 50, 8.0]]","[[38, 25, 'active'], [38, 28, 'passive']]",1,1,2,"[[50, 14, 0.0], [1, 14, 50.0], [11, 27, 50.0], [50, 7, 22.0], [33, 35, 14.0]]","[[50, 14, 'passive'], [50, 14, 'active']]",1,1,2,"[[7, 8, 10.0], [22, 10, 50.0], [0, 28, 50.0], [0, 36, 18.0], [21, 45, 0.0]]","[[21, 45, 'active'], [7, 8, 'passive']]"
16,16,1,1,2,"[[5, 47, 52.0], [23, 31, 52.0], [11, 34, 52.0], [38, 25, 10.0], [4, 50, 10.0]]","[[38, 25, 'passive'], [38, 25, 'active']]",1,1,2,"[[1, 14, 52.0], [11, 27, 52.0], [50, 7, 24.0], [33, 35, 16.0], [23, 2, 2.0]]","[[50, 14, 'passive'], [50, 9, 'active']]",1,1,2,"[[7, 8, 4.0], [22, 10, 52.0], [0, 28, 52.0], [0, 36, 20.0], [41, 27, 2.0]]","[[21, 45, 'active'], [7, 8, 'passive']]"
17,17,1,1,2,"[[5, 47, 54.0], [23, 31, 54.0], [11, 34, 54.0], [4, 50, 12.0], [7, 18, 2.0]]","[[38, 25, 'active'], [38, 25, 'passive']]",1,1,2,"[[1, 14, 54.0], [11, 27, 54.0], [50, 7, 26.0], [33, 35, 18.0], [23, 2, 4.0]]","[[50, 8, 'passive'], [50, 8, 'active']]",1,1,2,"[[22, 10, 54.0], [0, 28, 54.0], [0, 36, 22.0], [41, 27, 4.0], [16, 37, 2.0]]","[[6, 45, 'active'], [7, 8, 'passive']]"
18,18,1,1,2,"[[5, 47, 56.0], [23, 31, 56.0], [11, 34, 56.0], [4, 50, 14.0], [7, 18, 4.0]]","[[36, 28, 'active'], [27, 25, 'passive']]",1,1,2,"[[1, 14, 56.0], [11, 27, 56.0], [50, 7, 28.0], [33, 35, 20.0], [23, 2, 6.0]]","[[50, 7, 'passive'], [50, 8, 'active']]",1,1,2,"[[22, 10, 56.0], [0, 28, 56.0], [0, 36, 24.0], [41, 27, 6.0], [16, 37, 4.0]]","[[3, 42, 'active'], [11, 8, 'passive']]"
19,19,1,1,2,"[[5, 47, 58.0], [23, 31, 58.0], [11, 34, 58.0], [4, 50, 16.0], [7, 18, 6.0]]","[[25, 30, 'passive'], [31, 28, 'active']]",1,1,2,"[[1, 14, 58.0], [11, 27, 58.0], [50, 7, 22.0], [33, 35, 22.0], [23, 2, 8.0]]","[[50, 7, 'passive'], [50, 7, 'active']]",1,1,2,"[[22, 10, 58.0], [0, 28, 58.0], [0, 36, 26.0], [41, 27, 8.0], [16, 37, 6.0]]","[[1, 40, 'active'], [15, 9, 'passive']]"
20,20,1,1,2,"[[5, 47, 60.0], [23, 31, 60.0], [11, 34, 60.0], [4, 50, 18.0], [7, 18, 8.0]]","[[29, 31, 'active'], [25, 30, 'passive']]",1,1,2,"[[1, 14, 60.0], [11, 27, 60.0], [50, 7, 6.0], [33, 35, 24.0], [23, 2, 10.0]]","[[50, 7, 'passive'], [50, 7, 'active']]",1,1,2,"[[22, 10, 60.0], [0, 28, 60.0], [0, 36, 28.0], [41, 27, 10.0], [16, 37, 8.0]]","[[21, 10, 'passive'], [1, 40, 'active']]"
