,cycle,population_active__t1,population_passive__t1,population_total__t1,uptake_active__t1,uptake_passive__t1,metabolic_active__t1,metabolic_passive__t1,population_active__t2,population_passive__t2,population_total__t2,uptake_active__t2,uptake_passive__t2,metabolic_active__t2,metabolic_passive__t2,population_active__t3,population_passive__t3,population_total__t3,uptake_active__t3,uptake_passive__t3,metabolic_active__t3,metabolic_passive__t3
0,0,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1
1,1,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
2,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
3,3,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
4,4,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
5,5,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
6,6,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
7,7,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
8,8,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
9,9,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
10,10,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
11,11,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
12,12,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
13,13,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
14,14,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
15,15,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
16,16,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
17,17,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
18,18,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
19,19,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
20,20,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
21,21,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
22,22,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
23,23,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
24,24,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
25,25,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
26,26,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
27,27,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
28,28,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
29,29,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
30,30,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
31,31,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
32,32,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
33,33,1,1,2,1,1,0,2,1,1,2,1,1,0,2,1,1,2,1,1,0,2
34,34,2,2,4,2,2,0,4,2,2,4,2,2,0,4,2,2,4,0,4,0,4
35,35,2,2,4,2,2,0,4,2,2,4,2,2,0,4,2,2,4,0,4,0,4
36,36,2,2,4,2,2,0,4,2,2,4,2,2,0,4,2,2,4,0,4,0,4
37,37,2,2,4,2,2,0,4,2,2,4,2,2,0,4,2,2,4,0,4,0,4
38,38,2,2,4,2,2,0,4,2,2,4,2,2,0,4,2,2,4,0,4,0,4
39,39,2,2,4,2,2,0,4,2,2,4,2,2,0,4,2,2,4,0,4,0,4
40,40,2,2,4,2,2,0,4,2,2,4,2,2,0,4,2,2,4,0,4,0,4
41,41,2,2,4,2,2,0,4,2,2,4,2,2,0,4,2,2,4,0,4,0,4
42,42,2,2,4,2,2,0,4,2,2,4,2,2,0,4,2,2,4,0,4,0,4
43,43,2,2,4,2,2,0,4,2,2,4,2,2,0,4,2,2,4,0,4,0,4
44,44,2,2,4,2,2,0,4,2,2,4,2,2,0,4,2,2,4,0,4,0,4
45,45,2,2,4,2,2,0,4,2,2,4,2,2,0,4,2,2,4,0,4,0,4
46,46,2,2,4,2,2,0,4,2,2,4,2,2,0,4,2,2,4,0,4,0,4
47,47,2,2,4,2,2,0,4,2,2,4,2,2,0,4,2,2,4,0,4,0,4
48,48,2,2,4,2,2,0,4,2,2,4,2,2,0,4,2,2,4,0,4,0,4
49,49,2,2,4,2,2,0,4,2,2,4,2,2,0,4,2,2,4,0,4,0,4
50,50,2,2,4,2,2,0,4,2,2,4,2,2,0,4,2,2,4,0,4,0,4
51,51,2,2,4,2,2,0,4,2,2,4,2,2,0,4,2,2,4,0,4,0,4
52,52,2,2,4,2,2,0,4,2,2,4,2,2,0,4,2,2,4,0,4,0,4
53,53,2,2,4,2,2,0,4,2,2,4,2,2,0,4,2,2,4,0,4,0,4
54,54,2,2,4,2,2,0,4,2,2,4,2,2,0,4,2,2,4,0,4,0,4
55,55,2,2,4,2,2,0,4,2,2,4,2,2,0,4,2,2,4,0,4,0,4
56,56,2,2,4,2,2,0,4,2,2,4,2,2,0,4,2,2,4,0,4,0,4
57,57,2,2,4,2,2,0,4,2,2,4,2,2,0,4,2,2,4,0,4,0,4
58,58,2,2,4,2,2,0,4,2,2,4,2,2,0,4,2,2,4,0,4,0,4
59,59,4,2,6,4,2,0,6,2,2,4,2,2,0,4,2,2,4,0,4,0,4
60,60,4,2,6,4,2,0,6,2,2,4,2,2,0,4,2,2,4,0,4,0,4
61,61,4,2,6,4,2,0,6,2,2,4,2,2,0,4,2,2,4,0,4,0,4
62,62,4,2,6,4,2,0,6,2,2,4,2,2,0,4,2,2,4,0,4,0,4
63,63,4,2,6,4,2,0,6,2,2,4,2,2,0,4,2,2,4,0,4,0,4
64,64,4,2,6,4,2,0,6,2,2,4,2,2,0,4,2,2,4,0,4,0,4
65,65,4,2,6,4,2,0,6,2,2,4,2,2,0,4,2,2,4,0,4,0,4
66,66,4,2,6,4,2,0,6,2,2,4,2,2,0,4,2,2,4,0,4,0,4
67,67,4,2,6,4,2,0,6,2,2,4,2,2,0,4,2,2,4,0,4,0,4
68,68,4,4,8,6,2,0,8,4,4,8,6,2,0,8,4,4,8,6,2,0,8
69,69,4,4,8,6,2,0,8,4,4,8,6,2,0,8,4,4,8,6,2,0,8
70,70,4,4,8,6,2,0,8,4,4,8,6,2,0,8,4,4,8,6,2,0,8
71,71,4,4,8,6,2,0,8,4,4,8,6,2,0,8,4,4,8,6,2,0,8
72,72,4,4,8,6,2,0,8,4,4,8,6,2,0,8,4,4,8,6,2,0,8
73,73,4,4,8,6,2,0,8,4,4,8,6,2,0,8,4,4,8,6,2,0,8
74,74,4,4,8,6,2,0,8,4,4,8,6,2,0,8,4,4,8,6,2,0,8
75,75,4,4,8,6,2,0,8,4,4,8,6,2,0,8,4,4,8,6,2,0,8
76,76,4,4,8,6,2,0,8,4,4,8,6,2,0,8,4,4,8,6,2,0,8
77,77,4,4,8,6,2,0,8,4,4,8,6,2,0,8,4,4,8,6,2,0,8
78,78,4,4,8,6,2,0,8,4,4,8,6,2,0,8,4,4,8,6,2,0,8
79,79,4,4,8,6,2,0,8,4,4,8,6,2,0,8,4,4,8,6,2,0,8
80,80,4,4,8,6,2,0,8,4,4,8,6,2,0,8,4,4,8,6,2,0,8
81,81,4,4,8,6,2,0,8,4,4,8,6,2,0,8,4,4,8,6,2,0,8
82,82,4,4,8,6,2,0,8,4,4,8,6,2,0,8,4,4,8,6,2,0,8
83,83,4,4,8,6,2,0,8,4,4,8,6,2,0,8,4,4,8,6,2,0,8
84,84,6,4,10,4,6,0,10,4,4,8,6,2,0,8,4,4,8,6,2,0,8
85,85,6,4,10,4,6,0,10,4,4,8,6,2,0,8,4,4,8,6,2,0,8
86,86,6,4,10,4,6,0,10,4,4,8,6,2,0,8,4,4,8,6,2,0,8
87,87,6,4,10,4,6,0,10,4,4,8,6,2,0,8,4,4,8,6,2,0,8
88,88,6,4,10,4,6,0,10,4,4,8,6,2,0,8,4,4,8,6,2,0,8
89,89,6,4,10,4,6,0,10,4,4,8,6,2,0,8,4,4,8,6,2,0,8
90,90,6,4,10,4,6,0,10,4,4,8,6,2,0,8,4,4,8,6,2,0,8
91,91,6,4,10,4,6,0,10,4,4,8,6,2,0,8,4,4,8,6,2,0,8
92,92,6,4,10,4,6,0,10,4,4,8,6,2,0,8,4,4,8,6,2,0,8
93,93,8,6,14,6,8,0,14,8,4,12,6,6,0,12,8,6,14,0,14,0,14
94,94,8,6,14,6,8,0,14,8,4,12,6,6,0,12,8,6,14,0,14,0,14
95,95,8,6,14,6,8,0,14,8,4,12,6,6,0,12,8,6,14,0,14,0,14
96,96,8,6,14,6,8,0,14,8,4,12,6,6,0,12,8,6,14,0,14,0,14
97,97,8,6,14,6,8,0,14,8,4,12,6,6,0,12,8,6,14,0,14,0,14
98,98,8,6,14,6,8,0,14,8,4,12,6,6,0,12,8,6,14,0,14,0,14
99,99,8,6,14,6,8,0,14,8,4,12,6,6,0,12,8,6,14,0,14,0,14
100,100,8,6,14,6,8,0,14,8,4,12,6,6,0,12,8,6,14,0,14,0,14
101,101,8,8,16,8,8,0,16,8,8,16,10,6,0,16,8,8,16,2,14,0,16
102,102,8,8,16,8,8,0,16,8,8,16,10,6,0,16,8,8,16,2,14,0,16
103,103,8,8,16,8,8,0,16,8,8,16,10,6,0,16,8,8,16,2,14,0,16
104,104,8,8,16,8,8,0,16,8,8,16,10,6,0,16,8,8,16,2,14,0,16
105,105,8,8,16,8,8,0,16,8,8,16,10,6,0,16,8,8,16,2,14,0,16
106,106,8,8,16,8,8,0,16,8,8,16,10,6,0,16,8,8,16,2,14,0,16
